Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,1.9338,1.6303,0.5185,0.8335
2,1.5814,1.5173,0.8839,0.947
3,1.5052,1.4963,0.9586,0.9665
4,1.4918,1.4932,0.9709,0.969
5,1.4864,1.4889,0.976,0.9727
6,1.4835,1.4845,0.9786,0.9772
7,1.481,1.4837,0.981,0.9782
8,1.4781,1.4816,0.9838,0.9802
9,1.4778,1.4808,0.9839,0.9812
10,1.4751,1.4801,0.9867,0.9815
11,1.4746,1.4792,0.9871,0.9824
12,1.4734,1.4765,0.9885,0.9854
13,1.4729,1.4771,0.9886,0.9838
14,1.4728,1.4788,0.9888,0.9822
15,1.472,1.4767,0.9895,0.9848
16,1.4711,1.4801,0.9903,0.9812
17,1.4706,1.4779,0.9908,0.9831
18,1.4714,1.4784,0.99,0.9826
19,1.4703,1.478,0.991,0.9838
20,1.4697,1.4753,0.9917,0.9859
