Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,1.9703713499704996,1.7087626787821453,tensor(0.4979),tensor(0.7831)
2,1.6523532880942027,1.6284887221654256,tensor(0.8198),tensor(0.8378)
3,1.6086308017571767,1.5616653544108072,tensor(0.8589),tensor(0.9128)
4,1.5390533854166666,1.5397830448150636,tensor(0.9294),tensor(0.9272)
5,1.5180964759985607,1.5183662389119466,tensor(0.9474),tensor(0.9477)
6,1.5080536149342856,1.5057788626352946,tensor(0.9561),tensor(0.9575)
7,1.5005477305253347,1.5010991589228313,tensor(0.9634),tensor(0.9623)
8,1.4959228014945984,1.501180819193522,tensor(0.9674),tensor(0.9622)
9,1.4914711029529573,1.4905895535151164,tensor(0.9716),tensor(0.9723)
10,1.4882788347403209,1.4977058855692547,tensor(0.9745),tensor(0.9653)
11,1.4855967241923014,1.4897462355295816,tensor(0.9772),tensor(0.9719)
12,1.4842039615313212,1.4854047104517618,tensor(0.9788),tensor(0.9773)
13,1.4821635818481445,1.485980749766032,tensor(0.9804),tensor(0.9764)
14,1.4807672386169433,1.485346006711324,tensor(0.9816),tensor(0.9768)
15,1.4791647327740987,1.4852785256703696,tensor(0.9830),tensor(0.9768)
16,1.4784694254398345,1.481012559890747,tensor(0.9839),tensor(0.9800)
17,1.477439568678538,1.4816701930363974,tensor(0.9847),tensor(0.9803)
18,1.4769184283415477,1.4933182983398436,tensor(0.9853),tensor(0.9685)
19,1.4756956589221955,1.4808954928716023,tensor(0.9864),tensor(0.9809)
20,1.4752229035695394,1.4790234661102295,tensor(0.9869),tensor(0.9823)
