Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,2.175,1.9276,0.2644,0.5582
2,1.7584,1.6833,0.7395,0.7987
3,1.6528,1.6386,0.8186,0.8299
4,1.6291,1.6225,0.8381,0.8429
5,1.6161,1.6144,0.8493,0.8502
6,1.5896,1.5556,0.8819,0.9194
7,1.5415,1.5346,0.9298,0.9355
8,1.5275,1.5289,0.9404,0.9388
9,1.5188,1.517,0.9477,0.9483
10,1.512,1.5136,0.9539,0.9503
11,1.5074,1.508,0.9583,0.9564
12,1.5036,1.5057,0.9614,0.9589
13,1.4997,1.5016,0.9654,0.9619
14,1.4971,1.5001,0.9676,0.9633
15,1.4948,1.4975,0.9695,0.9653
16,1.4928,1.4982,0.9711,0.9644
17,1.4912,1.4959,0.9725,0.9669
18,1.4893,1.4921,0.9745,0.9706
19,1.4877,1.492,0.9758,0.9712
20,1.4863,1.4916,0.9771,0.9711
